fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates,alcohol,quality,style
7.2,0.27,0.28,15.2,0.046,6,41,0.99665,3.17,0.39,10.9,6,white
5.8,0.29,0.38,10.7,0.038,49,136,0.99366,3.11,0.59,11.2,6,white
5.9,0.31,0.3,7.7,0.047,60,206,0.995,3.2,0.39,9.6,6,white
7,0.27,0.29,3.9,0.059,28,199,0.9961,3.54,0.59,10.3,5,white
6.4,0.28,0.28,3,0.04,19,98,0.99216,3.25,0.47,11.1,6,white
5.4,0.23,0.36,1.5,0.03,74,121,0.98976,3.24,0.99,12.1,7,white
5.6,0.225,0.24,9.8,0.054,59,140,0.99545,3.17,0.39,10.2,6,white
7,0.3,0.38,14.9,0.032,60,181,0.9983,3.18,0.61,9.3,7,white
8.3,0.36,0.57,15,0.052,35,256,1.0001,2.93,0.64,8.6,5,white
9.2,0.41,0.5,2.5,0.055,12,25,0.9952,3.34,0.79,13.3,7,red
6.3,0.3,0.48,1.8,0.069,18,61,0.9959,3.44,0.78,10.3,6,red
6.1,0.58,0.23,2.5,0.044,16,70,0.99352,3.46,0.65,12.5,6,red
4.9,0.335,0.14,1.3,0.036,69,168,0.99212,3.47,0.46,10.46666667,5,white
7.1,0.55,0.13,1.7,0.073,21,165,0.994,2.97,0.58,9.2,6,white
6.8,0.19,0.32,7.6,0.049,37,107,0.99332,3.12,0.44,10.7,7,white
6.7,0.38,0.26,9.55,0.036,35,91,0.9919,2.98,0.37,12.4,6,white
6.6,0.21,0.3,9.9,0.041,64,174,0.995,3.07,0.5,10.1,6,white
10,0.2,0.39,1.4,0.05,19,152,0.994,3,0.42,10.4,6,white
9,0.44,0.49,2.4,0.078,26,121,0.9978,3.23,0.58,9.2,5,red
6.3,0.26,0.42,7.1,0.045,62,209,0.99544,3.2,0.53,9.5,6,white
6.8,0.39,0.31,14.35,0.043,28,162,0.9988,3.17,0.54,9.1,5,white
7.2,0.37,0.15,2,0.029,27,87,0.9903,3.3,0.59,12.6,7,white
6.9,0.3,0.21,15.7,0.056,49,159,0.99827,3.11,0.48,9,5,white
8,0.36,0.43,10.1,0.053,29,146,0.9982,3.4,0.46,9.5,6,white
6.4,0.43,0.32,1.4,0.048,10,67,0.992,3.08,0.41,11.4,5,white
6.9,0.32,0.26,8.3,0.053,32,180,0.9965,3.25,0.51,9.2,6,white
6.9,0.28,0.3,1.6,0.047,46,132,0.9918,3.35,0.38,11.1,7,white
7.4,0.13,0.39,4.7,0.042,36,137,0.995,3.36,0.56,10.3,7,white
6.6,0.22,0.23,17.3,0.047,37,118,0.99906,3.08,0.46,8.8,6,white
6.4,0.16,0.42,1,0.036,29,113,0.9908,3.18,0.52,11,6,white
8.4,0.36,0.32,2.2,0.081,32,79,0.9964,3.3,0.72,11,6,red
8.7,0.3,0.59,1.7,0.046,10,70,0.99373,3.06,0.56,10.8,4,white
8.2,0.37,0.27,1.7,0.028,10,59,0.9923,2.97,0.48,10.4,5,white
6.8,0.21,0.37,7,0.038,27,107,0.99206,2.98,0.82,11.5,6,white
6.3,0.3,0.24,6.6,0.04,38,141,0.995,3.22,0.47,9.5,5,white
9.8,0.25,0.74,10,0.056,36,225,0.9977,3.06,0.43,10,4,white
6.6,0.19,0.41,8.9,0.046,51,169,0.9954,3.14,0.57,9.8,6,white
6.2,0.31,0.23,3.3,0.052,34,113,0.99429,3.16,0.48,8.4,5,white
7.9,0.18,0.4,1.8,0.062,7,20,0.9941,3.28,0.7,11.1,5,red
7.8,0.27,0.34,1.6,0.046,27,154,0.9927,3.05,0.45,10.5,6,white
6.5,0.61,0,2.2,0.095,48,59,0.99541,3.61,0.7,11.5,6,red
7.6,0.38,0.28,4.2,0.029,7,112,0.9906,3,0.41,12.6,6,white
6.9,0.25,0.35,1.3,0.039,29,191,0.9908,3.13,0.52,11,6,white
5.8,0.29,0.21,2.6,0.025,12,120,0.9894,3.39,0.79,14,7,white
6.3,0.27,0.23,2.9,0.047,13,100,0.9936,3.28,0.43,9.8,5,white
6.2,0.2,0.26,1.1,0.047,42,119,0.99158,3.48,0.6,11,7,white
6.7,0.26,0.39,6.4,0.171,64,200,0.99562,3.19,0.38,9.4,6,white
8.2,0.35,0.33,2.4,0.076,11,47,0.99599,3.27,0.81,11,6,red
8.3,0.61,0.3,2.1,0.084,11,50,0.9972,3.4,0.61,10.2,6,red
7.1,0.12,0.3,3.1,0.018,15,37,0.99004,3.02,0.52,11.9,7,white
7.3,0.26,0.36,5.2,0.04,31,141,0.9931,3.16,0.59,11,6,white
7.7,0.69,0.22,1.9,0.084,18,94,0.9961,3.31,0.48,9.5,5,red
8.3,0.65,0.1,2.9,0.089,17,40,0.99803,3.29,0.55,9.5,5,red
7.1,0.25,0.28,1.6,0.052,46,169,0.9926,3.05,0.41,10.5,5,white
7.1,0.48,0.28,2.8,0.068,6,16,0.99682,3.24,0.53,10.3,5,red
6.6,0.695,0,2.1,0.075,12,56,0.9968,3.49,0.67,9.2,5,red
8,0.22,0.28,14,0.053,83,197,0.9981,3.14,0.45,9.8,6,white
6.5,0.19,0.1,1.3,0.046,23,107,0.9937,3.29,0.45,10,5,white
6.2,0.29,0.32,3.6,0.026,39,138,0.9892,3.31,0.37,13.1,7,white
5.9,0.14,0.2,1.6,0.04,26,114,0.99105,3.25,0.45,11.4,6,white
7,0.57,0,2,0.19,12,45,0.99676,3.31,0.6,9.4,6,red
7,0.32,0.35,1.5,0.039,24,125,0.9918,3.17,0.64,12.2,6,white
6.9,0.3,0.49,7.6,0.057,25,156,0.9962,3.43,0.63,11,7,white
6.6,0.64,0.31,6.1,0.083,7,49,0.99718,3.35,0.68,10.3,5,red
14.3,0.31,0.74,1.8,0.075,6,15,1.0008,2.86,0.79,8.4,6,red
6.7,0.25,0.26,1.55,0.041,118.5,216,0.9949,3.55,0.63,9.4,3,white
6.6,0.22,0.53,15.1,0.052,22,136,0.9986,2.94,0.35,9.4,5,white
6.9,0.2,0.3,4.7,0.041,40,148,0.9932,3.16,0.35,10.2,6,white
5.7,0.28,0.3,3.9,0.026,36,105,0.98963,3.26,0.58,12.75,6,white
6.5,0.36,0.31,13.55,0.053,20,113,0.99544,3.2,0.56,11,6,white
8,0.26,0.36,2,0.054,30,121,0.992,3.09,0.72,11.6,7,white
10.1,0.31,0.35,1.6,0.075,9,28,0.99672,3.24,0.83,11.2,7,red
7.1,0.47,0.29,14.8,0.024,22,142,0.99518,3.12,0.48,12,8,white
5.8,0.22,0.25,1.5,0.024,21,109,0.99234,3.37,0.58,10.4,6,white
8.2,0.26,0.34,2.5,0.073,16,47,0.99594,3.4,0.78,11.3,7,red
7.2,0.23,0.39,14.2,0.058,49,192,0.9979,2.98,0.48,9,7,white
6.4,0.28,0.56,1.7,0.156,49,106,0.99354,3.1,0.37,9.2,6,white
6,0.31,0.27,2.3,0.042,19,120,0.98952,3.32,0.41,12.7,7,white
7.2,0.37,0.15,2,0.029,27,87,0.9903,3.3,0.59,12.6,7,white
7.5,0.27,0.31,17.7,0.051,33,173,0.999,3.09,0.64,10.2,5,white
7.7,0.15,0.29,1.3,0.029,10,64,0.9932,3.35,0.39,10.1,5,white
6.6,0.15,0.32,6,0.033,59,128,0.99192,3.19,0.71,12.1,8,white
6.3,0.27,0.25,5.8,0.038,52,155,0.995,3.28,0.38,9.4,6,white
10.2,0.29,0.65,2.4,0.075,6,17,0.99565,3.22,0.63,11.8,6,red
6.4,0.31,0.26,13.2,0.046,57,205,0.9975,3.17,0.41,9.6,5,white
7,0.12,0.29,10.3,0.039,41,98,0.99564,3.19,0.38,9.8,8,white
6.8,0.24,0.49,19.3,0.057,55,247,1.00055,3,0.56,8.7,5,white
6.2,0.22,0.3,12.4,0.054,108,152,0.99728,3.1,0.47,9.5,6,white
6.7,0.34,0.26,1.9,0.038,58,138,0.9893,3,0.47,12.2,7,white
8.6,0.47,0.27,2.3,0.055,14,28,0.99516,3.18,0.8,11.2,5,red
7.5,0.32,0.24,4.6,0.053,8,134,0.9958,3.14,0.5,9.1,3,white
6.6,0.31,0.38,16.05,0.058,16,165,0.9997,3.38,0.6,9.2,5,white
6,0.16,0.3,6.7,0.043,43,153,0.9951,3.63,0.46,10.6,5,white
9,0.2,0.33,3.5,0.049,10,40,0.9944,3.14,0.36,9.8,6,white
8,0.37,0.32,1.6,0.04,32,166,0.992,3,0.55,11.3,7,white
6.2,0.25,0.54,7,0.046,58,176,0.99454,3.19,0.7,10.4,5,white
7.5,0.27,0.34,2.3,0.05,4,8,0.9951,3.4,0.64,11,7,red
5.7,0.25,0.26,12.5,0.049,52.5,120,0.99691,3.08,0.45,9.4,6,white
8.3,1.02,0.02,3.4,0.084,6,11,0.99892,3.48,0.49,11,3,red
8.3,0.26,0.42,2,0.08,11,27,0.9974,3.21,0.8,9.4,6,red
7,0.45,0.34,19.8,0.04,12,67,0.9976,3.07,0.38,11,6,white
6.9,0.635,0.17,2.4,0.241,6,18,0.9961,3.4,0.59,10.3,6,red
6.5,0.58,0,2.2,0.096,3,13,0.99557,3.62,0.62,11.5,4,red
8,0.24,0.26,1.7,0.033,36,136,0.99316,3.44,0.51,10.4,7,white
7.4,0.55,0.19,1.8,0.082,15,34,0.99655,3.49,0.68,10.5,5,red
9.1,0.47,0.49,2.6,0.094,38,106,0.9982,3.08,0.59,9.1,5,red
6.9,0.44,0.27,5,0.038,33,166,0.99124,3.2,0.42,12.2,6,white
7,0.27,0.48,6.1,0.042,60,184,0.99566,3.2,0.5,9.4,6,white
6.3,0.24,0.37,1.8,0.031,6,61,0.9897,3.3,0.34,12.2,4,white
7.1,0.34,0.28,2,0.082,31,68,0.99694,3.45,0.48,9.4,5,red
9,0.62,0.04,1.9,0.146,27,90,0.9984,3.16,0.7,9.4,5,red
7.2,0.15,0.39,1.8,0.043,21,159,0.9948,3.52,0.47,10,5,white
7.4,0.25,0.36,13.2,0.067,53,178,0.9976,3.01,0.48,9,6,white
7.8,0.29,0.33,8.75,0.035,33,181,0.9962,3.11,0.46,10.7,5,white
6.7,0.17,0.27,1.4,0.032,39,149,0.99254,3.4,0.52,10.5,5,white
7.2,0.115,0.3,6.8,0.056,26,105,0.9954,3.44,0.4,9.6,6,white
6.8,0.19,0.33,1.3,0.031,22,87,0.98987,3.08,0.62,12.3,7,white
7.4,0.19,0.31,14.5,0.045,39,193,0.9986,3.1,0.5,9.2,6,white
7.5,0.24,0.31,13.1,0.05,26,180,0.99884,3.05,0.53,9.1,6,white
6.6,0.23,0.32,0.9,0.041,25,79,0.9926,3.39,0.54,10.2,7,white
7.8,0.55,0.35,2.2,0.074,21,66,0.9974,3.25,0.56,9.2,5,red
6.9,0.44,0.42,8.5,0.048,10,147,0.9974,3.32,0.46,9.5,6,white
7.3,0.33,0.22,1.4,0.041,40,177,0.99287,3.14,0.48,9.9,5,white
5.2,0.44,0.04,1.4,0.036,43,119,0.9894,3.36,0.33,12.1,8,white
7.6,0.23,0.4,5.2,0.066,14,91,0.99488,3.17,0.8,9.7,5,white
8,0.725,0.24,2.8,0.083,10,62,0.99685,3.35,0.56,10,6,red
5.9,0.655,0,5.6,0.033,8,31,0.9936,3.32,0.51,10.5,4,white
6.2,0.35,0.25,18.4,0.051,28,182,0.99946,3.13,0.62,9.3,6,white
5.6,0.19,0.47,4.5,0.03,19,112,0.9922,3.56,0.45,11.2,6,white
7,0.48,0.12,4.5,0.05,23,86,0.99398,2.86,0.35,9,5,white
6.1,0.16,0.34,6.1,0.034,31,114,0.99365,3.32,0.58,10.15,7,white
7.5,0.6,0.03,1.8,0.095,25,99,0.995,3.35,0.54,10.1,5,red
7.2,0.29,0.4,13.6,0.045,66,231,0.9977,3.08,0.59,9.6,6,white
5.8,0.32,0.38,4.75,0.033,23,94,0.991,3.42,0.42,11.8,7,white
6.7,0.16,0.37,1.3,0.036,45,125,0.98964,3.19,0.51,12.4,7,white
7.8,0.18,0.31,12.2,0.053,46,140,0.998,3.06,0.53,8.9,6,white
5.9,0.33,0.32,8.1,0.038,9,34,0.9911,3.22,0.36,12.7,7,white
6.5,0.28,0.35,15.4,0.042,55,195,0.9978,3.23,0.5,9.6,6,white
7.6,1.58,0,2.1,0.137,5,9,0.99476,3.5,0.4,10.9,3,red
7.8,0.55,0,1.7,0.07,7,17,0.99659,3.26,0.64,9.4,6,red
6.7,0.16,0.32,12.5,0.035,18,156,0.99666,2.88,0.36,9,6,white
6.2,0.235,0.34,1.9,0.036,4,117,0.99032,3.4,0.44,12.2,5,white
8,0.22,0.42,14.6,0.044,45,163,1.0003,3.21,0.69,8.6,7,white
6,0.23,0.15,9.7,0.048,101,207,0.99571,3.05,0.3,9.1,5,white
5.8,0.36,0.26,3.3,0.038,40,153,0.9911,3.34,0.55,11.3,6,white
6.5,0.23,0.39,1.9,0.036,41,98,0.99,3.19,0.43,11.9,7,white
6.6,0.36,0.47,1.4,0.145,26,124,0.99274,3.09,0.56,10.1,6,white
8.2,0.635,0.1,2.1,0.073,25,60,0.99638,3.29,0.75,10.9,6,red
6.9,0.3,0.25,3.3,0.041,26,124,0.99428,3.18,0.5,9.3,6,white
6.4,0.21,0.5,11.6,0.042,45,153,0.9972,3.15,0.43,8.8,5,white
6.7,0.42,0.39,12.1,0.04,61,248,0.99794,3.31,0.58,9.7,5,white
4.2,0.17,0.36,1.8,0.029,93,161,0.98999,3.65,0.89,12,7,white
6.4,0.25,0.57,1,0.062,21,122,0.99238,3,0.4,9.5,5,white
6.1,0.4,0.16,1.8,0.069,11,25,0.9955,3.42,0.74,10.1,7,red
8,0.36,0.39,1.6,0.024,26,93,0.99116,3.15,0.49,11.9,6,white
8.1,0.19,0.4,0.9,0.037,73,180,0.9926,3.06,0.34,10,6,white
7.3,0.19,0.27,13.9,0.057,45,155,0.99807,2.94,0.41,8.8,8,white
8.3,0.39,0.7,10.6,0.045,33,169,0.9976,3.09,0.57,9.4,5,white
6.4,0.3,0.27,4.4,0.055,17,135,0.9925,3.23,0.44,12.2,6,white
7.7,0.43,0.25,2.6,0.073,29,63,0.99615,3.37,0.58,10.5,6,red
7.4,0.19,0.31,14.5,0.045,39,193,0.9986,3.1,0.5,9.2,6,white
6,0.615,0.04,0.8,0.032,8,50,0.99036,3.14,0.4,11,4,white
6.8,0.18,0.28,9.8,0.039,29,113,0.99406,3.11,0.45,10.9,7,white
7.2,0.27,0.46,18.75,0.052,45,255,1,3.04,0.52,8.9,5,white
7.5,0.51,0.02,1.7,0.084,13,31,0.99538,3.36,0.54,10.5,6,red
7,0.31,0.52,1.7,0.029,5,61,0.9918,3.07,0.43,10.4,5,white
10.9,0.53,0.49,4.6,0.118,10,17,1.0002,3.07,0.56,11.7,6,red
8.1,0.3,0.49,8.1,0.037,26,174,0.9943,3.1,0.3,11.2,7,white
7.3,0.19,0.27,13.9,0.057,45,155,0.99807,2.94,0.41,8.8,8,white
6.6,0.52,0.08,2.4,0.07,13,26,0.99358,3.4,0.72,12.5,7,red
8.3,0.6,0.25,2.2,0.118,9,38,0.99616,3.15,0.53,9.8,5,red
6.6,0.24,0.28,1.8,0.028,39,132,0.99182,3.34,0.46,11.4,5,white
5.8,0.32,0.2,2.6,0.027,17,123,0.98936,3.36,0.78,13.9,7,white
6.4,0.29,0.18,15,0.04,21,116,0.99736,3.14,0.5,9.2,5,white
7.4,0.16,0.3,13.7,0.056,33,168,0.99825,2.9,0.44,8.7,7,white
5.7,0.28,0.24,17.5,0.044,60,167,0.9989,3.31,0.44,9.4,5,white
6.7,0.36,0.28,8.3,0.034,29,81,0.99151,2.96,0.39,12.5,6,white
7,0.13,0.37,12.85,0.042,36,105,0.99581,3.05,0.55,10.7,6,white
7,0.44,0.24,12.1,0.056,68,210,0.99718,3.05,0.5,9.5,5,white
6.8,0.3,0.35,2.8,0.038,10,164,0.9912,3.09,0.53,12,6,white
5.8,0.555,0.26,4.5,0.053,17,126,0.9943,3.24,0.46,9.1,5,white
7.9,0.18,0.37,3,0.061,25,178,0.995,3.22,0.51,10,6,white
6.4,0.27,0.19,2,0.084,21,191,0.99516,3.49,0.63,9.6,4,white
10.8,0.4,0.41,2.2,0.084,7,17,0.9984,3.08,0.67,9.3,6,red
6.3,0.23,0.33,1.5,0.036,15,105,0.991,3.32,0.42,11.2,6,white
7,0.29,0.35,1.4,0.036,42,109,0.99119,3.31,0.62,11.6,6,white
6.4,0.35,0.28,12.6,0.039,19,124,0.99539,3.2,0.43,10.6,6,white
5.2,0.36,0.02,1.6,0.031,24,104,0.9896,3.44,0.35,12.2,6,white
6.5,0.15,0.55,5.9,0.045,75,162,0.99482,2.97,0.4,9.3,5,white
11,0.2,0.48,2,0.343,6,18,0.9979,3.3,0.71,10.5,5,red
7.1,0.39,0.79,1.4,0.194,23,90,0.99212,3.17,0.46,10.5,6,white
6.8,0.27,0.49,1.2,0.044,35,126,0.99,3.13,0.48,12.1,7,white
6.5,0.22,0.19,1.1,0.064,36,191,0.99297,3.05,0.5,9.5,6,white
7.2,0.695,0.13,2,0.076,12,20,0.99546,3.29,0.54,10.1,5,red
6.5,0.27,0.19,6.6,0.045,98,175,0.99364,3.16,0.34,10.1,6,white
7.7,0.28,0.29,6.9,0.041,29,163,0.9952,3.44,0.6,10.5,6,white
6.2,0.56,0.09,1.7,0.053,24,32,0.99402,3.54,0.6,11.3,5,red
5,0.24,0.19,5,0.043,17,101,0.99438,3.67,0.57,10,5,white
7.9,0.35,0.28,12.9,0.032,13,63,0.9932,2.99,0.43,13,6,white
7.3,0.49,0.32,5.2,0.043,18,104,0.9952,3.24,0.45,10.7,4,white
10.4,0.26,0.48,1.9,0.066,6,10,0.99724,3.33,0.87,10.9,6,red
7.3,0.19,0.27,13.9,0.057,45,155,0.99807,2.94,0.41,8.8,8,white
5.6,0.185,0.19,7.1,0.048,36,110,0.99438,3.26,0.41,9.5,6,white
6.7,0.41,0.27,2.6,0.033,25,85,0.99086,3.05,0.34,11.7,6,white
7.1,0.18,0.49,1.3,0.033,12,72,0.99072,3.05,0.53,11.3,7,white
7.9,0.51,0.34,2.6,0.049,13,135,0.99335,3.09,0.51,10,5,white
6.9,0.32,0.3,1.8,0.036,28,117,0.99269,3.24,0.48,11,6,white
6.4,0.35,0.21,2.1,0.051,46,171,0.9932,3.16,0.5,9.5,5,white
5.2,0.16,0.34,0.8,0.029,26,77,0.99155,3.25,0.51,10.1,6,white
9.2,0.15,0.68,1.6,0.046,22,130,0.9948,3.02,0.45,10.4,6,white
7.2,0.33,0.22,4.5,0.031,10,73,0.99076,2.97,0.52,12.2,7,white
6.2,0.28,0.22,7.3,0.041,26,157,0.9957,3.44,0.64,9.8,7,white
7.4,0.19,0.3,12.8,0.053,48.5,229,0.9986,3.14,0.49,9.1,7,white
7.4,0.16,0.3,13.7,0.056,33,168,0.99825,2.9,0.44,8.7,7,white
6.8,0.25,0.29,2,0.042,19,189,0.9952,3.46,0.54,10.2,6,white
7,0.22,0.26,9.2,0.027,37,122,0.99228,3.06,0.34,12.5,8,white
7.3,0.33,0.4,6.85,0.038,32,138,0.992,3.03,0.3,11.9,7,white
7.6,0.25,1.23,4.6,0.035,51,294,0.99018,3.03,0.43,13.1,6,white
6.3,0.33,0.27,1.2,0.046,34,175,0.9934,3.37,0.54,9.4,6,white
7.4,0.17,0.29,1.4,0.047,23,107,0.9939,3.52,0.65,10.4,6,white
6.6,0.16,0.32,1.4,0.035,49,186,0.9906,3.35,0.64,12.4,8,white
5.3,0.32,0.12,6.6,0.043,22,141,0.9937,3.36,0.6,10.4,6,white
7.6,0.9,0.06,2.5,0.079,5,10,0.9967,3.39,0.56,9.8,5,red
6.9,0.29,0.4,19.45,0.043,36,156,0.9996,2.93,0.47,8.9,5,white
7,0.18,0.37,1.5,0.043,16,104,0.99216,3.18,0.5,10.8,5,white
6.4,0.26,0.21,7.1,0.04,35,162,0.9956,3.39,0.58,9.9,6,white
7.1,0.365,0.14,1.2,0.055,24,84,0.9941,3.15,0.43,8.9,5,white
8.4,0.34,0.42,2.1,0.072,23,36,0.99392,3.11,0.78,12.4,6,red
6.7,0.22,0.39,10.2,0.038,60,149,0.99725,3.17,0.54,10,7,white
6.7,0.36,0.28,8.3,0.034,29,81,0.99151,2.96,0.39,12.5,6,white
6.2,0.43,0.49,6.4,0.045,12,115,0.9963,3.27,0.57,9,4,white
7.3,0.25,0.29,7.5,0.049,38,158,0.9965,3.43,0.38,9.6,5,white
7.6,0.23,0.29,8.6,0.053,65,146,0.9963,3.11,0.32,9.8,6,white
6.4,0.34,0.1,1.1,0.048,19,84,0.9927,3.21,0.38,9.8,5,white
8.9,0.32,0.31,2,0.088,12,19,0.9957,3.17,0.55,10.4,6,red
7.3,0.25,0.36,2.1,0.034,30,177,0.99085,3.25,0.4,11.9,8,white
5.9,0.445,0.26,1.4,0.027,23,109,0.99148,3.3,0.36,10.5,6,white
6.6,0.855,0.02,2.4,0.062,15,23,0.99627,3.54,0.6,11,6,red
5.2,0.365,0.08,13.5,0.041,37,142,0.997,3.46,0.39,9.9,6,white
6.8,0.27,0.32,1.5,0.044,19,142,0.9921,3.1,0.43,9.9,6,white
6,0.29,0.27,2.3,0.044,20,117,0.9895,3.31,0.41,12.7,7,white
7.4,0.27,0.49,1.1,0.037,33,156,0.992,3.15,0.54,11.1,6,white
8.3,0.26,0.41,9.2,0.042,41,162,0.9944,3.1,0.38,12,7,white
6.4,0.23,0.35,4.6,0.039,43,147,0.99216,3.18,0.4,11,7,white
8.3,0.76,0.29,4.2,0.075,12,16,0.9965,3.45,0.68,11.5,6,red
7,0.35,0.17,1.1,0.049,7,119,0.99297,3.13,0.36,9.7,6,white
5.7,0.21,0.24,2.3,0.047,60,189,0.995,3.65,0.72,10.1,6,white
7,0.46,0.2,16.7,0.046,50,184,0.99898,3.08,0.56,9.4,5,white
7.5,0.33,0.36,2.6,0.051,26,126,0.99097,3.32,0.53,12.7,6,white
7.3,0.3,0.74,13.5,0.039,46,165,0.9982,3.02,0.4,8.7,5,white
7.7,0.26,0.4,1.1,0.042,9,60,0.9915,2.89,0.5,10.6,5,white
7.3,0.67,0.02,2.2,0.072,31,92,0.99566,3.32,0.68,11.1,6,red
8.6,0.37,0.7,12.15,0.039,21,158,0.9983,3,0.73,9.3,6,white
7.4,0.16,0.49,1.2,0.055,18,150,0.9917,3.23,0.47,11.2,6,white
6.3,0.76,0,2.9,0.072,26,52,0.99379,3.51,0.6,11.5,6,red
8.2,0.24,0.49,9.3,0.038,52,163,0.9952,3.02,0.33,10.6,6,white
6.4,0.29,0.21,9.65,0.041,36,119,0.99334,2.99,0.34,10.93333333,6,white
6,0.22,0.25,11.1,0.056,112,177,0.9961,3.08,0.36,9.4,6,white
6.5,0.29,0.31,1.7,0.035,24,79,0.99053,3.27,0.69,11.4,7,white
6.2,0.35,0.29,7.3,0.044,56,244,0.9956,3.36,0.55,10,6,white
